method,f,g,rho,sigma
noreg,naive,,,
noreg,oracle,,,
noreg,qm,,,
noreg,lqm,,,
noreg,tr,,,
admm,naive,tv,2.5,0.96
admm,naive,bm3d,2.5,0.72
admm,naive,dncnn,2.5,1
admm,gaussian,tv,2.5,0.72
admm,gaussian,bm3d,2.5,0.48
admm,gaussian,dncnn,2.5,1.25
admm,oracle,tv,2.5,1.2
admm,oracle,bm3d,2.5,0.72
admm,oracle,dncnn,2.5,0.75
admm,qm,tv,2.5,1.2
admm,qm,bm3d,2.5,0.72
admm,qm,dncnn,2.5,0.75
admm,lqm,tv,2.5,1.2
admm,lqm,bm3d,2.5,0.72
admm,lqm,dncnn,2.5,0.75
fista,tr,tv,0.1,0.24
fista,tr,bm3d,0.1,0.24
fista,tr,dncnn,0.1,1.5